# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
2.108628e+01	2.945707e-26
2.113489e+01	2.961915e-26
2.118361e+01	2.982256e-26
2.123244e+01	3.002687e-26
2.128139e+01	3.023208e-26
2.133045e+01	3.043818e-26
2.137962e+01	3.064518e-26
2.142891e+01	3.085308e-26
2.147830e+01	3.106188e-26
2.152782e+01	3.127158e-26
2.157744e+01	3.148217e-26
2.162719e+01	3.169366e-26
2.167704e+01	3.190605e-26
2.172701e+01	3.211933e-26
2.177710e+01	3.233352e-26
2.182730e+01	3.254860e-26
2.187762e+01	3.276457e-26
2.192805e+01	3.298145e-26
2.197860e+01	3.319922e-26
2.202926e+01	3.341790e-26
2.208005e+01	3.363746e-26
2.213095e+01	3.385793e-26
2.218196e+01	3.407930e-26
2.223310e+01	3.430155e-26
2.228435e+01	3.452472e-26
2.233572e+01	3.479369e-26
2.238721e+01	3.501882e-26
2.243882e+01	3.524485e-26
2.249055e+01	3.547177e-26
2.254239e+01	3.569960e-26
2.259436e+01	3.592832e-26
2.264644e+01	3.620396e-26
2.269865e+01	3.643466e-26
2.275097e+01	3.666625e-26
2.280342e+01	3.689873e-26
2.285599e+01	3.717890e-26
2.290868e+01	3.741335e-26
2.296149e+01	3.764870e-26
2.301442e+01	3.788496e-26
2.306747e+01	3.816964e-26
2.312065e+01	3.840786e-26
2.317395e+01	3.864698e-26
2.322737e+01	3.893509e-26
2.328091e+01	3.917618e-26
2.333458e+01	3.941816e-26
2.338837e+01	3.970972e-26
2.344229e+01	3.995368e-26
2.349633e+01	4.024759e-26
2.355049e+01	4.049351e-26
2.360478e+01	4.074033e-26
2.365920e+01	4.103768e-26
2.371374e+01	4.128646e-26
2.376840e+01	4.158618e-26
2.382319e+01	4.183693e-26
2.387811e+01	4.213900e-26
2.393316e+01	4.239172e-26
2.398833e+01	4.269615e-26
2.404363e+01	4.295084e-26
2.409905e+01	4.325763e-26
2.415461e+01	4.351427e-26
2.421029e+01	4.382342e-26
2.426610e+01	4.413386e-26
2.432204e+01	4.439353e-26
2.437811e+01	4.470632e-26
2.443431e+01	4.496796e-26
2.449063e+01	4.528310e-26
2.454709e+01	4.559953e-26
2.460368e+01	4.586420e-26
2.466039e+01	4.618298e-26
2.471724e+01	4.650304e-26
2.477422e+01	4.677074e-26
2.483133e+01	4.709315e-26
2.488857e+01	4.741685e-26
2.494595e+01	4.774183e-26
2.500345e+01	4.801361e-26
2.506109e+01	4.833597e-26
2.511886e+01	4.865954e-26
2.517677e+01	4.898432e-26
2.523481e+01	4.925589e-26
2.529298e+01	4.958290e-26
2.535129e+01	4.991112e-26
2.540973e+01	5.024055e-26
2.546830e+01	5.057119e-26
2.552701e+01	5.090305e-26
2.558586e+01	5.123611e-26
2.564484e+01	5.151459e-26
2.570396e+01	5.184988e-26
2.576321e+01	5.218637e-26
2.582260e+01	5.252407e-26
2.588213e+01	5.286297e-26
2.594179e+01	5.320310e-26
2.600160e+01	5.354442e-26
2.606154e+01	5.388695e-26
2.612161e+01	5.423070e-26
2.618183e+01	5.457564e-26
2.624219e+01	5.492178e-26
2.630268e+01	5.526913e-26
2.636331e+01	5.561770e-26
2.642409e+01	5.596746e-26
2.648500e+01	5.637704e-26
2.654606e+01	5.672940e-26
2.660725e+01	5.708298e-26
2.666859e+01	5.743775e-26
2.673006e+01	5.779372e-26
2.679168e+01	5.815090e-26
