# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.999862e+01	1.155126e-26
2.004472e+01	1.158857e-26
2.009093e+01	1.163545e-26
2.013724e+01	1.168260e-26
2.018366e+01	1.172053e-26
2.023019e+01	1.176818e-26
2.027683e+01	1.181612e-26
2.032357e+01	1.185467e-26
2.037042e+01	1.190312e-26
2.041738e+01	1.195185e-26
2.046445e+01	1.199103e-26
2.051162e+01	1.204028e-26
2.055891e+01	1.208981e-26
2.060630e+01	1.213964e-26
2.065380e+01	1.217971e-26
2.070141e+01	1.223006e-26
2.074914e+01	1.228070e-26
2.079697e+01	1.233164e-26
2.084491e+01	1.237261e-26
2.089296e+01	1.242409e-26
2.094112e+01	1.247587e-26
2.098940e+01	1.252795e-26
2.103778e+01	1.258033e-26
2.108628e+01	1.263302e-26
2.113489e+01	1.267539e-26
2.118361e+01	1.272863e-26
2.123244e+01	1.278217e-26
2.128139e+01	1.283603e-26
2.133045e+01	1.289019e-26
2.137962e+01	1.294467e-26
2.142891e+01	1.299947e-26
2.147830e+01	1.305458e-26
2.152782e+01	1.311001e-26
2.157744e+01	1.316575e-26
2.162719e+01	1.322181e-26
2.167704e+01	1.327820e-26
2.172701e+01	1.333490e-26
2.177710e+01	1.339193e-26
2.182730e+01	1.344929e-26
2.187762e+01	1.350697e-26
2.192805e+01	1.356498e-26
2.197860e+01	1.362332e-26
2.202926e+01	1.368199e-26
2.208005e+01	1.374099e-26
2.213095e+01	1.380032e-26
2.218196e+01	1.385998e-26
2.223310e+01	1.391999e-26
2.228435e+01	1.398033e-26
2.233572e+01	1.405318e-26
2.238721e+01	1.411426e-26
2.243882e+01	1.417568e-26
2.249055e+01	1.423745e-26
2.254239e+01	1.429956e-26
2.259436e+01	1.436201e-26
2.264644e+01	1.443741e-26
2.269865e+01	1.450062e-26
2.275097e+01	1.456418e-26
2.280342e+01	1.462809e-26
2.285599e+01	1.470525e-26
2.290868e+01	1.476994e-26
2.296149e+01	1.483497e-26
2.301442e+01	1.490036e-26
2.306747e+01	1.497930e-26
2.312065e+01	1.504548e-26
2.317395e+01	1.511201e-26
2.322737e+01	1.519232e-26
2.328091e+01	1.525964e-26
2.333458e+01	1.532733e-26
2.338837e+01	1.540903e-26
2.344229e+01	1.547751e-26
2.349633e+01	1.556017e-26
2.355049e+01	1.562946e-26
2.360478e+01	1.569911e-26
2.365920e+01	1.578318e-26
2.371374e+01	1.585365e-26
