# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
3.097419e+01	4.999629e-26
3.104560e+01	5.039700e-26
3.111716e+01	5.074942e-26
3.118890e+01	5.110353e-26
3.126079e+01	5.145932e-26
3.133286e+01	5.181680e-26
3.140509e+01	5.222741e-26
3.147748e+01	5.258850e-26
3.155005e+01	5.295127e-26
3.162278e+01	5.331573e-26
3.169567e+01	5.373429e-26
3.176874e+01	5.410233e-26
3.184198e+01	5.447206e-26
3.191538e+01	5.489665e-26
3.198895e+01	5.526995e-26
3.206269e+01	5.564495e-26
3.213661e+01	5.607553e-26
3.221069e+01	5.645409e-26
3.228494e+01	5.683432e-26
3.235937e+01	5.727092e-26
3.243396e+01	5.765471e-26
3.250873e+01	5.809536e-26
3.258367e+01	5.848274e-26
3.265878e+01	5.892746e-26
3.273407e+01	5.931836e-26
3.280953e+01	5.976715e-26
3.288516e+01	6.021808e-26
3.296097e+01	6.061442e-26
3.303695e+01	6.106941e-26
3.311311e+01	6.146928e-26
3.318945e+01	6.192827e-26
3.326596e+01	6.238943e-26
3.334264e+01	6.279469e-26
3.341950e+01	6.325985e-26
3.349654e+01	6.372716e-26
3.357376e+01	6.413779e-26
3.365116e+01	6.460909e-26
3.372873e+01	6.508250e-26
3.380648e+01	6.555805e-26
3.388442e+01	6.597588e-26
3.396253e+01	6.645537e-26
3.404082e+01	6.693700e-26
3.411929e+01	6.742072e-26
3.419794e+01	6.790656e-26
3.427678e+01	6.839447e-26
3.435579e+01	6.888450e-26
3.443499e+01	6.931498e-26
3.451437e+01	6.980891e-26
3.459394e+01	7.030495e-26
3.467369e+01	7.080303e-26
3.475362e+01	7.130323e-26
3.483373e+01	7.180548e-26
3.491403e+01	7.230979e-26
3.499452e+01	7.281618e-26
3.507519e+01	7.338832e-26
3.515604e+01	7.389905e-26
3.523709e+01	7.441185e-26
3.531832e+01	7.492668e-26
3.539973e+01	7.544357e-26
3.548134e+01	7.596247e-26
3.556313e+01	7.648342e-26
3.564511e+01	7.707190e-26
3.572728e+01	7.759712e-26
3.580964e+01	7.812438e-26
3.589219e+01	7.865364e-26
3.597493e+01	7.918491e-26
3.605786e+01	7.978498e-26
3.614099e+01	8.032047e-26
3.622430e+01	8.085798e-26
3.630781e+01	8.146504e-26
3.639150e+01	8.200673e-26
3.647539e+01	8.261852e-26
3.655948e+01	8.316442e-26
3.664376e+01	8.371226e-26
3.672823e+01	8.433093e-26
3.681290e+01	8.488295e-26
3.689776e+01	8.550628e-26
3.698282e+01	8.606239e-26
3.706807e+01	8.669036e-26
3.715352e+01	8.725059e-26
3.723917e+01	8.788315e-26
3.732502e+01	8.851813e-26
3.741106e+01	8.908456e-26
3.749730e+01	8.972410e-26
3.758374e+01	9.029460e-26
3.767038e+01	9.093863e-26
3.775722e+01	9.158507e-26
3.784426e+01	9.216169e-26
3.793150e+01	9.281262e-26
3.801894e+01	9.346590e-26
3.810658e+01	9.412153e-26
3.819443e+01	9.470627e-26
3.828247e+01	9.536632e-26
3.837072e+01	9.602870e-26
3.845918e+01	9.669339e-26
3.854784e+01	9.736040e-26
3.863670e+01	9.802971e-26
3.872576e+01	9.870130e-26
3.881504e+01	9.937518e-26
3.890451e+01	9.997610e-26
3.899420e+01	1.006543e-25
3.908409e+01	1.013347e-25
3.917419e+01	1.020173e-25
3.926449e+01	1.027022e-25
3.935501e+01	1.034659e-25
3.944573e+01	1.041555e-25
3.953666e+01	1.048473e-25
3.962780e+01	1.055413e-25
3.971915e+01	1.062375e-25
3.981072e+01	1.069359e-25
3.990249e+01	1.076365e-25
3.999447e+01	1.083392e-25
4.008667e+01	1.091225e-25
4.017908e+01	1.098298e-25
4.027170e+01	1.105392e-25
4.036454e+01	1.112507e-25
4.045759e+01	1.120438e-25
4.055085e+01	1.127598e-25
4.064433e+01	1.134778e-25
4.073803e+01	1.142782e-25
4.083194e+01	1.150006e-25
4.092607e+01	1.158058e-25
4.102041e+01	1.165326e-25
4.111497e+01	1.172615e-25
4.120975e+01	1.180737e-25
4.130475e+01	1.188069e-25
4.139997e+01	1.196239e-25
4.149540e+01	1.204433e-25
4.159106e+01	1.211829e-25
4.168694e+01	1.220070e-25
4.178304e+01	1.227508e-25
4.187936e+01	1.235796e-25
