# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
3.419794e+01	2.826668e-26
3.427678e+01	2.842375e-26
3.435579e+01	2.858143e-26
3.443499e+01	2.871991e-26
3.451437e+01	2.887874e-26
3.459394e+01	2.903819e-26
3.467369e+01	2.919824e-26
3.475362e+01	2.935891e-26
3.483373e+01	2.952018e-26
3.491403e+01	2.968205e-26
3.499452e+01	2.984453e-26
3.507519e+01	3.002805e-26
3.515604e+01	3.019180e-26
3.523709e+01	3.035617e-26
3.531832e+01	3.052113e-26
3.539973e+01	3.068669e-26
3.548134e+01	3.085284e-26
3.556313e+01	3.101960e-26
3.564511e+01	3.120790e-26
3.572728e+01	3.137591e-26
3.580964e+01	3.154452e-26
3.589219e+01	3.171370e-26
3.597493e+01	3.188349e-26
3.605786e+01	3.207519e-26
3.614099e+01	3.224621e-26
3.622430e+01	3.241782e-26
3.630781e+01	3.261158e-26
3.639150e+01	3.278442e-26
3.647539e+01	3.297956e-26
3.655948e+01	3.315363e-26
3.664376e+01	3.332827e-26
3.672823e+01	3.352544e-26
3.681290e+01	3.370131e-26
3.689776e+01	3.389984e-26
3.698282e+01	3.407691e-26
3.706807e+01	3.427679e-26
3.715352e+01	3.445507e-26
3.723917e+01	3.465631e-26
3.732502e+01	3.485826e-26
3.741106e+01	3.503836e-26
3.749730e+01	3.524164e-26
3.758374e+01	3.542293e-26
3.767038e+01	3.562753e-26
3.775722e+01	3.583285e-26
3.784426e+01	3.601593e-26
3.793150e+01	3.622256e-26
3.801894e+01	3.642987e-26
3.810658e+01	3.663788e-26
3.819443e+01	3.682335e-26
3.828247e+01	3.703266e-26
3.837072e+01	3.724264e-26
3.845918e+01	3.745331e-26
3.854784e+01	3.766465e-26
3.863670e+01	3.787667e-26
3.872576e+01	3.808936e-26
3.881504e+01	3.830273e-26
3.890451e+01	3.849295e-26
3.899420e+01	3.870756e-26
3.908409e+01	3.892285e-26
3.917419e+01	3.913878e-26
3.926449e+01	3.935538e-26
3.935501e+01	3.959682e-26
3.944573e+01	3.981479e-26
3.953666e+01	4.003342e-26
3.962780e+01	4.025269e-26
3.971915e+01	4.047260e-26
3.981072e+01	4.069316e-26
3.990249e+01	4.091435e-26
3.999447e+01	4.113617e-26
4.008667e+01	4.138339e-26
4.017908e+01	4.160655e-26
4.027170e+01	4.183033e-26
4.036454e+01	4.205474e-26
4.045759e+01	4.230481e-26
4.055085e+01	4.253052e-26
4.064433e+01	4.275685e-26
4.073803e+01	4.300905e-26
4.083194e+01	4.323667e-26
4.092607e+01	4.349029e-26
4.102041e+01	4.371918e-26
4.111497e+01	4.394868e-26
4.120975e+01	4.420437e-26
4.130475e+01	4.443512e-26
4.139997e+01	4.469221e-26
4.149540e+01	4.495002e-26
4.159106e+01	4.518267e-26
4.168694e+01	4.544184e-26
4.178304e+01	4.567571e-26
4.187936e+01	4.593625e-26
4.197590e+01	4.619749e-26
4.207266e+01	4.643320e-26
4.216965e+01	4.669577e-26
4.226686e+01	4.695904e-26
4.236430e+01	4.719658e-26
4.246196e+01	4.746115e-26
4.255984e+01	4.772642e-26
4.265795e+01	4.799235e-26
4.275629e+01	4.825896e-26
4.285485e+01	4.849949e-26
4.295364e+01	4.876739e-26
4.305266e+01	4.903593e-26
4.315191e+01	4.930515e-26
4.325138e+01	4.957501e-26
4.335109e+01	4.984553e-26
4.345102e+01	5.011670e-26
4.355119e+01	5.038851e-26
4.365158e+01	5.066096e-26
4.375221e+01	5.093405e-26
4.385307e+01	5.120776e-26
4.395416e+01	5.148211e-26
4.405549e+01	5.178461e-26
4.415704e+01	5.206025e-26
4.425884e+01	5.233651e-26
4.436086e+01	5.261339e-26
4.446313e+01	5.289087e-26
4.456562e+01	5.319680e-26
4.466836e+01	5.347553e-26
4.477133e+01	5.375487e-26
4.487454e+01	5.403480e-26
4.497799e+01	5.434339e-26
4.508167e+01	5.462455e-26
4.518559e+01	5.493447e-26
4.528976e+01	5.521684e-26
4.539416e+01	5.549977e-26
4.549881e+01	5.581164e-26
4.560369e+01	5.609575e-26
4.570882e+01	5.640891e-26
4.581419e+01	5.669419e-26
4.591980e+01	5.700861e-26
4.602566e+01	5.732371e-26
4.613176e+01	5.761073e-26
4.623810e+01	5.792706e-26
4.634469e+01	5.821519e-26
4.645153e+01	5.853274e-26
4.655861e+01	5.885093e-26
4.666594e+01	5.916973e-26
4.677351e+01	5.946010e-26
4.688134e+01	5.978009e-26
4.698941e+01	6.010070e-26
4.709773e+01	6.042190e-26
4.720630e+01	6.074371e-26
4.731513e+01	6.106612e-26
4.742420e+01	6.135972e-26
4.753352e+01	6.168325e-26
4.764310e+01	6.200735e-26
4.775293e+01	6.233204e-26
4.786301e+01	6.265729e-26
4.797334e+01	6.298310e-26
4.808393e+01	6.330948e-26
4.819478e+01	6.363639e-26
4.830588e+01	6.399368e-26
4.841724e+01	6.432173e-26
4.852885e+01	6.465034e-26
4.864072e+01	6.497948e-26
4.875285e+01	6.530916e-26
4.886524e+01	6.566938e-26
4.897788e+01	6.600014e-26
4.909079e+01	6.633141e-26
4.920395e+01	6.666318e-26
4.931738e+01	6.702568e-26
4.943107e+01	6.735850e-26
4.954502e+01	6.772212e-26
4.965923e+01	6.805596e-26
4.977371e+01	6.839029e-26
4.988845e+01	6.875553e-26
5.000345e+01	6.909084e-26
5.011872e+01	6.945661e-26
5.023426e+01	6.979239e-26
5.035006e+01	7.015920e-26
5.046613e+01	7.052656e-26
5.058247e+01	7.086377e-26
5.069907e+01	7.123211e-26
5.081594e+01	7.160099e-26
5.093309e+01	7.193957e-26
5.105050e+01	7.230941e-26
5.116818e+01	7.267974e-26
5.128614e+01	7.305059e-26
5.140437e+01	7.339094e-26
5.152286e+01	7.376269e-26
5.164164e+01	7.413492e-26
5.176068e+01	7.450761e-26
5.188000e+01	7.488078e-26
5.199960e+01	7.525439e-26
5.211947e+01	7.562845e-26
5.223962e+01	7.600296e-26
5.236004e+01	7.637790e-26
5.248075e+01	7.675328e-26
5.260173e+01	7.712907e-26
5.272299e+01	7.750530e-26
5.284453e+01	7.788193e-26
5.296634e+01	7.829041e-26
5.308844e+01	7.866788e-26
5.321083e+01	7.904575e-26
5.333349e+01	7.942402e-26
5.345644e+01	7.983423e-26
5.357967e+01	8.021330e-26
5.370318e+01	8.059273e-26
5.382698e+01	8.100419e-26
5.395106e+01	8.138438e-26
5.407543e+01	8.179665e-26
5.420009e+01	8.217758e-26
5.432503e+01	8.259063e-26
5.445027e+01	8.297226e-26
5.457579e+01	8.338608e-26
5.470160e+01	8.376840e-26
5.482770e+01	8.418295e-26
5.495409e+01	8.456593e-26
5.508077e+01	8.498118e-26
5.520774e+01	8.539678e-26
5.533501e+01	8.581274e-26
5.546257e+01	8.619700e-26
5.559043e+01	8.661362e-26
5.571857e+01	8.703058e-26
5.584702e+01	8.744784e-26
5.597576e+01	8.786543e-26
5.610480e+01	8.825117e-26
5.623413e+01	8.866936e-26
5.636377e+01	8.908785e-26
5.649370e+01	8.950663e-26
5.662393e+01	8.992568e-26
5.675446e+01	9.034504e-26
5.688529e+01	9.079695e-26
5.701643e+01	9.121686e-26
5.714786e+01	9.163704e-26
5.727960e+01	9.205746e-26
5.741165e+01	9.247814e-26
5.754399e+01	9.289907e-26
5.767665e+01	9.335263e-26
5.780960e+01	9.377405e-26
5.794287e+01	9.419568e-26
5.807644e+01	9.465000e-26
5.821032e+01	9.507208e-26
5.834451e+01	9.549438e-26
5.847901e+01	9.594939e-26
5.861382e+01	9.637210e-26
5.874894e+01	9.682754e-26
5.888437e+01	9.725064e-26
5.902011e+01	9.770649e-26
5.915616e+01	9.816253e-26
5.929253e+01	9.858619e-26
5.942922e+01	9.904260e-26
5.956621e+01	9.949920e-26
5.970353e+01	9.992334e-26
5.984116e+01	1.003803e-25
5.997911e+01	1.008374e-25
6.011737e+01	1.012946e-25
6.025596e+01	1.017520e-25
6.039486e+01	1.021769e-25
6.053409e+01	1.026345e-25
6.067363e+01	1.030923e-25
6.081350e+01	1.035503e-25
6.095369e+01	1.040083e-25
6.109420e+01	1.044665e-25
6.123504e+01	1.049575e-25
6.137620e+01	1.054158e-25
6.151769e+01	1.058743e-25
6.165950e+01	1.063328e-25
6.180164e+01	1.067915e-25
6.194411e+01	1.072502e-25
6.208690e+01	1.077417e-25
6.223003e+01	1.082006e-25
6.237348e+01	1.086595e-25
6.251727e+01	1.091513e-25
6.266139e+01	1.096103e-25
6.280584e+01	1.101021e-25
