# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
4.835720062255859375e+00 2.022450288171871030e-02 1.342739114068244033e-01 9.821466673996730457e-01 5.704233591380891005e-02
4.841739177703857422e+00 1.951448178252802174e-02 1.159614202340689543e-01 8.891988356604262345e-01 5.134505253105648565e-02
4.847758293151855469e+00 2.015025487913742197e-02 1.182722142856796610e-01 7.821693166142623665e-01 4.532617048099255030e-02
4.853777885437011719e+00 2.382819881074657239e-02 1.254609291495433210e-01 9.658845147027484979e-01 4.666677748051107494e-02
4.859797477722167969e+00 2.420475306485302472e-02 1.172923389088591228e-01 7.225052356252380514e-01 3.828185722749663511e-02
4.865816593170166016e+00 2.066373665144530594e-02 1.152454460131979858e-01 9.938473983282679614e-01 4.434261643121333724e-02
4.871835708618164062e+00 1.942981978193226988e-02 1.065847260528091922e-01 7.217872012215278410e-01 3.710218676290887030e-02
4.877855300903320312e+00 2.244856206637557000e-02 1.083033860202447379e-01 6.608429568658324982e-01 3.448975348942107805e-02
4.883874893188476562e+00 1.826428703352325419e-02 9.047973987509669302e-02 7.175181222139174197e-01 3.291783986684820168e-02
4.889894008636474609e+00 2.440658398825993128e-02 1.142382230546564181e-01 8.234939718345988258e-01 3.820155619891048293e-02
4.895913124084472656e+00 2.143809910383942183e-02 9.202864335367530457e-02 8.441010873420636829e-01 3.779964048240554153e-02
4.901932716369628906e+00 2.058639799328143213e-02 9.295488889061334636e-02 9.410337044742160817e-01 4.068041105737425778e-02
4.907952308654785156e+00 2.045368175498414251e-02 9.411927244158233008e-02 7.831672796076467602e-01 3.369657711218550927e-02
4.913971424102783203e+00 2.128326887781838150e-02 9.123294864159540996e-02 6.442823361097849144e-01 2.915924442306080250e-02
4.919990539550781250e+00 2.089795687753807571e-02 8.773840081003837776e-02 6.577906225911613891e-01 3.238241781615645160e-02
4.926010131835937500e+00 2.339003185718604647e-02 9.256757984509865478e-02 6.245443867822385586e-01 2.818729463503748950e-02
4.932029724121093750e+00 2.060643772335802107e-02 7.730519002520909455e-02 7.023179783014856792e-01 2.461735515898382659e-02
4.938048839569091797e+00 1.825885118741976329e-02 7.531148523425842956e-02 5.160963977739118080e-01 2.544163947162599373e-02
